cik,fiscal_period,form_type,filed_date,lag_days,suspect,accession
1800,2012-03-31,10-Q,2012-05-08,38,,0001104659-12-034444
1800,2012-06-30,10-Q,2012-08-07,38,,0001104659-12-055154
1800,2012-09-30,10-Q,2012-11-07,38,,0001104659-12-075249
1800,2012-12-31,10-K,2013-02-15,46,,0001047469-13-001180
1800,2013-03-31,10-Q,2013-05-08,38,,0001104659-13-038811
1800,2013-06-30,10-Q,2013-08-06,37,,0001104659-13-060300
1800,2013-09-30,10-Q,2013-11-07,38,,0001104659-13-082270
1800,2013-12-31,10-K,2014-02-21,52,,0001047469-14-001176
1800,2014-03-31,10-Q,2014-05-07,37,,0001104659-14-035832
1800,2014-06-30,10-Q,2014-08-05,36,,0001104659-14-056950
1800,2014-09-30,10-Q,2014-11-06,37,,0001104659-14-077769
1800,2014-12-31,10-K,2015-02-27,58,,0001047469-15-001377
1800,2015-03-31,10-Q,2015-05-06,36,,0001104659-15-034919
1800,2015-06-30,10-Q,2015-08-04,35,,0001104659-15-055905
1800,2015-09-30,10-Q,2015-11-05,36,,0001104659-15-076189
1800,2015-12-31,10-K,2016-02-19,50,,0001047469-16-010246
1800,2016-03-31,10-Q,2016-05-04,34,,0001104659-16-117710
1800,2016-06-30,10-Q,2016-08-03,34,,0001104659-16-136572
1800,2016-09-30,10-Q,2016-11-03,34,,0001104659-16-154583
1800,2016-12-31,10-K,2017-02-17,48,,0001047469-17-000744
1800,2017-03-31,10-Q,2017-05-03,33,,0001104659-17-029430
1800,2017-06-30,10-Q,2017-08-02,33,,0001104659-17-048855
1800,2017-09-30,10-Q,2017-11-02,33,,0001104659-17-065654
1800,2017-12-31,10-K,2018-02-16,47,,0001047469-18-000856
1800,2018-03-31,10-Q,2018-05-02,32,,0001104659-18-029831
1800,2018-06-30,10-Q,2018-08-01,32,,0001104659-18-048736
1800,2018-09-30,10-Q,2018-10-31,31,,0001104659-18-065076
1800,2018-12-31,10-K,2019-02-22,53,,0001047469-19-000624
1800,2019-03-31,10-Q,2019-05-01,31,,0001104659-19-026018
1800,2019-06-30,10-Q,2019-07-31,31,,0001410578-19-000606
1800,2019-09-30,10-Q,2019-10-31,31,,0001104659-19-058323
1800,2019-12-31,10-K,2020-02-21,52,,0001104659-20-023904
1800,2020-03-31,10-Q,2020-04-29,29,,0001104659-20-053384
