cik,name,calendar_type,declared_year_end,year_end_month,year_end_day,year_end_weekday,year_end_changed,changed_at,earlier_calendar_type,annual_anchors,fiscal_years,suspect_anchors,missing_fiscal_years
104169,Walmart Inc.,fixed_date,0131,1,31,,,,,13,2012-2024,,
1018724,AMAZON COM INC,fixed_date,1231,12,31,,,,,13,2012-2024,,
320193,Apple Inc.,week_52_53,0926,9,,Sat,,,,13,2012-2024,,
731766,UNITEDHEALTH GROUP INC,fixed_date,1231,12,31,,,,,13,2012-2024,,
1067983,BERKSHIRE HATHAWAY INC,fixed_date,1231,12,31,,,,,13,2012-2024,,
64803,CVS HEALTH Corp,fixed_date,1231,12,31,,,,,13,2012-2024,,
34088,EXXON MOBIL CORP,fixed_date,1231,12,31,,,,,13,2012-2024,,
927653,MCKESSON CORP,fixed_date,0331,3,31,,,,,13,2012-2024,,
1652044,Alphabet Inc.,fixed_date,1231,12,31,,,,,10,2015-2024,,
1140859,"Cencora, Inc.",fixed_date,0930,9,30,,,,,13,2012-2024,,
909832,COSTCO WHOLESALE CORP /NEW,week_52_53,0830,9,,Sun,,,,13,2012-2024,,
789019,MICROSOFT CORP,fixed_date,0630,6,30,,,,,13,2012-2024,,
721371,CARDINAL HEALTH INC,fixed_date,0630,6,30,,,,,13,2012-2024,,
93410,CHEVRON CORP,fixed_date,1231,12,31,,,,,13,2012-2024,,
1739940,Cigna Group,fixed_date,1231,12,31,,,,,7,2018-2024,,
37996,FORD MOTOR CO,fixed_date,1231,12,31,,,,,13,2012-2024,,
1467858,General Motors Co,fixed_date,1231,12,31,,,,,13,2012-2024,,
1156039,"Elevance Health, Inc.",fixed_date,1231,12,31,,,,,13,2012-2024,,
19617,JPMORGAN CHASE & CO,fixed_date,1231,12,31,,,,,13,2012-2024,,
1071739,CENTENE CORP,fixed_date,1231,12,31,,,,,13,2012-2024,,
354950,"HOME DEPOT, INC.",week_52_53,0131,1,,Sun,,,,13,2012-2024,,
56873,KROGER CO,week_52_53,0130,1,,Sat,,,,13,2012-2024,,
1510295,Marathon Petroleum Corp,fixed_date,1231,12,31,,,,,13,2012-2024,,
1534701,Phillips 66,fixed_date,1231,12,31,,,,,13,2012-2024,,
1618921,"Walgreens Boots Alliance, Inc.",fixed_date,0831,8,31,,,,,10,2015-2024,,
