cik,fiscal_year,quarter,period_end,form_type,days_from_year_start
1800,2012,1,2012-03-31,10-Q,105
1800,2012,2,2012-06-30,10-Q,196
1800,2012,3,2012-09-30,10-Q,288
1800,2012,4,2012-12-31,10-K,380
1800,2013,1,2013-03-31,10-Q,90
1800,2013,2,2013-06-30,10-Q,181
1800,2013,3,2013-09-30,10-Q,273
1800,2013,4,2013-12-31,10-K,365
1800,2014,1,2014-03-31,10-Q,90
1800,2014,2,2014-06-30,10-Q,181
1800,2014,3,2014-09-30,10-Q,273
1800,2014,4,2014-12-31,10-K,365
1800,2015,1,2015-03-31,10-Q,90
1800,2015,2,2015-06-30,10-Q,181
1800,2015,3,2015-09-30,10-Q,273
1800,2015,4,2015-12-31,10-K,365
1800,2016,1,2016-03-31,10-Q,91
1800,2016,2,2016-06-30,10-Q,182
1800,2016,3,2016-09-30,10-Q,274
1800,2016,4,2016-12-31,10-K,366
1800,2017,1,2017-03-31,10-Q,90
1800,2017,2,2017-06-30,10-Q,181
1800,2017,3,2017-09-30,10-Q,273
1800,2017,4,2017-12-31,10-K,365
1800,2018,1,2018-03-31,10-Q,90
1800,2018,2,2018-06-30,10-Q,181
1800,2018,3,2018-09-30,10-Q,273
1800,2018,4,2018-12-31,10-K,365
1800,2019,1,2019-03-31,10-Q,90
1800,2019,2,2019-06-30,10-Q,181
1800,2019,3,2019-09-30,10-Q,273
1800,2019,4,2019-12-31,10-K,365
1800,2020,1,2020-03-31,10-Q,91
1800,2020,2,2020-06-30,10-Q,182
1800,2020,3,2020-09-30,10-Q,274
1800,2020,4,2020-12-31,10-K,366
1800,2021,1,2021-03-31,10-Q,90
1800,2021,2,2021-06-30,10-Q,181
1800,2021,3,2021-09-30,10-Q,273
1800,2021,4,2021-12-31,10-K,365
1800,2022,1,2022-03-31,10-Q,90
1800,2022,2,2022-06-30,10-Q,181
1800,2022,3,2022-09-30,10-Q,273
1800,2022,4,2022-12-31,10-K,365
1800,2023,1,2023-03-31,10-Q,90
1800,2023,2,2023-06-30,10-Q,181
1800,2023,3,2023-09-30,10-Q,273
1800,2023,4,2023-12-31,10-K,365
1800,2024,1,2024-03-31,10-Q,91
1800,2024,2,2024-06-30,10-Q,182
1800,2024,3,2024-09-30,10-Q,274
1800,2024,4,2024-12-31,10-K,366
4962,2012,1,2012-03-31,10-Q,105
4962,2012,2,2012-06-30,10-Q,196
4962,2012,3,2012-09-30,10-Q,288
4962,2012,4,2012-12-31,10-K,380
4962,2013,1,2013-03-31,10-Q,90
4962,2013,2,2013-06-30,10-Q,181
4962,2013,3,2013-09-30,10-Q,273
4962,2013,4,2013-12-31,10-K,365
4962,2014,1,2014-03-31,10-Q,90
4962,2014,2,2014-06-30,10-Q,181
4962,2014,3,2014-09-30,10-Q,273
4962,2014,4,2014-12-31,10-K,365
4962,2015,1,2015-03-31,10-Q,90
4962,2015,2,2015-06-30,10-Q,181
4962,2015,3,2015-09-30,10-Q,273
4962,2015,4,2015-12-31,10-K,365
4962,2016,1,2016-03-31,10-Q,91
4962,2016,2,2016-06-30,10-Q,182
4962,2016,3,2016-09-30,10-Q,274
4962,2016,4,2016-12-31,10-K,366
4962,2017,1,2017-03-31,10-Q,90
4962,2017,2,2017-06-30,10-Q,181
4962,2017,3,2017-09-30,10-Q,273
4962,2017,4,2017-12-31,10-K,365
4962,2018,1,2018-03-31,10-Q,90
4962,2018,2,2018-06-30,10-Q,181
4962,2018,3,2018-09-30,10-Q,273
4962,2018,4,2018-12-31,10-K,365
4962,2019,1,2019-03-31,10-Q,90
4962,2019,2,2019-06-30,10-Q,181
4962,2019,3,2019-09-30,10-Q,273
4962,2019,4,2019-12-31,10-K,365
4962,2020,1,2020-03-31,10-Q,91
4962,2020,2,2020-06-30,10-Q,182
4962,2020,3,2020-09-30,10-Q,274
4962,2020,4,2020-12-31,10-K,366
4962,2021,1,2021-03-31,10-Q,90
4962,2021,2,2021-06-30,10-Q,181
4962,2021,3,2021-09-30,10-Q,273
4962,2021,4,2021-12-31,10-K,365
4962,2022,1,2022-03-31,10-Q,90
4962,2022,2,2022-06-30,10-Q,181
4962,2022,3,2022-09-30,10-Q,273
4962,2022,4,2022-12-31,10-K,365
4962,2023,1,2023-03-31,10-Q,90
4962,2023,2,2023-06-30,10-Q,181
4962,2023,3,2023-09-30,10-Q,273
4962,2023,4,2023-12-31,10-K,365
4962,2024,1,2024-03-31,10-Q,91
4962,2024,2,2024-06-30,10-Q,182
4962,2024,3,2024-09-30,10-Q,274
4962,2024,4,2024-12-31,10-K,366
5272,2012,1,2012-03-31,10-Q,105
5272,2012,2,2012-06-30,10-Q,196
5272,2012,3,2012-09-30,10-Q,288
5272,2012,4,2012-12-31,10-K,380
5272,2013,1,2013-03-31,10-Q,90
5272,2013,2,2013-06-30,10-Q,181
5272,2013,3,2013-09-30,10-Q,273
5272,2013,4,2013-12-31,10-K,365
5272,2014,1,2014-03-31,10-Q,90
5272,2014,2,2014-06-30,10-Q,181
5272,2014,3,2014-09-30,10-Q,273
5272,2014,4,2014-12-31,10-K,365
5272,2015,1,2015-03-31,10-Q,90
5272,2015,2,2015-06-30,10-Q,181
5272,2015,3,2015-09-30,10-Q,273
5272,2015,4,2015-12-31,10-K,365
5272,2016,1,2016-03-31,10-Q,91
5272,2016,2,2016-06-30,10-Q,182
5272,2016,3,2016-09-30,10-Q,274
5272,2016,4,2016-12-31,10-K,366
5272,2017,1,2017-03-31,10-Q,90
5272,2017,2,2017-06-30,10-Q,181
5272,2017,3,2017-09-30,10-Q,273
5272,2017,4,2017-12-31,10-K,365
5272,2018,1,2018-03-31,10-Q,90
5272,2018,2,2018-06-30,10-Q,181
5272,2018,3,2018-09-30,10-Q,273
5272,2018,4,2018-12-31,10-K,365
5272,2019,1,2019-03-31,10-Q,90
5272,2019,2,2019-06-30,10-Q,181
5272,2019,3,2019-09-30,10-Q,273
5272,2019,4,2019-12-31,10-K,365
5272,2020,1,2020-03-31,10-Q,91
5272,2020,2,2020-06-30,10-Q,182
5272,2020,3,2020-09-30,10-Q,274
5272,2020,4,2020-12-31,10-K,366
5272,2021,1,2021-03-31,10-Q,90
5272,2021,2,2021-06-30,10-Q,181
5272,2021,3,2021-09-30,10-Q,273
5272,2021,4,2021-12-31,10-K,365
5272,2022,1,2022-03-31,10-Q,90
5272,2022,2,2022-06-30,10-Q,181
5272,2022,3,2022-09-30,10-Q,273
5272,2022,4,2022-12-31,10-K,365
5272,2023,1,2023-03-31,10-Q,90
5272,2023,2,2023-06-30,10-Q,181
5272,2023,3,2023-09-30,10-Q,273
5272,2023,4,2023-12-31,10-K,365
5272,2024,1,2024-03-31,10-Q,91
5272,2024,2,2024-06-30,10-Q,182
5272,2024,3,2024-09-30,10-Q,274
5272,2024,4,2024-12-31,10-K,366
6201,2012,1,2012-03-31,10-Q,105
6201,2012,2,2012-06-30,10-Q,196
6201,2012,3,2012-09-30,10-Q,288
6201,2012,4,2012-12-31,10-K,380
6201,2013,1,2013-03-31,10-Q,90
6201,2013,2,2013-06-30,10-Q,181
6201,2013,3,2013-09-30,10-Q,273
6201,2013,4,2013-12-31,10-K,365
6201,2014,1,2014-03-31,10-Q,90
6201,2014,2,2014-06-30,10-Q,181
6201,2014,3,2014-09-30,10-Q,273
6201,2014,4,2014-12-31,10-K,365
6201,2015,1,2015-03-31,10-Q,90
6201,2015,2,2015-06-30,10-Q,181
6201,2015,3,2015-09-30,10-Q,273
6201,2015,4,2015-12-31,10-K,365
6201,2016,1,2016-03-31,10-Q,91
6201,2016,2,2016-06-30,10-Q,182
6201,2016,3,2016-09-30,10-Q,274
6201,2016,4,2016-12-31,10-K,366
6201,2017,1,2017-03-31,10-Q,90
6201,2017,2,2017-06-30,10-Q,181
6201,2017,3,2017-09-30,10-Q,273
6201,2017,4,2017-12-31,10-K,365
6201,2018,1,2018-03-31,10-Q,90
6201,2018,2,2018-06-30,10-Q,181
6201,2018,3,2018-09-30,10-Q,273
6201,2018,4,2018-12-31,10-K,365
6201,2019,1,2019-03-31,10-Q,90
6201,2019,2,2019-06-30,10-Q,181
6201,2019,3,2019-09-30,10-Q,273
6201,2019,4,2019-12-31,10-K,365
6201,2020,1,2020-03-31,10-Q,91
6201,2020,2,2020-06-30,10-Q,182
6201,2020,3,2020-09-30,10-Q,274
6201,2020,4,2020-12-31,10-K,366
6201,2021,1,2021-03-31,10-Q,90
6201,2021,2,2021-06-30,10-Q,181
6201,2021,3,2021-09-30,10-Q,273
6201,2021,4,2021-12-31,10-K,365
6201,2022,1,2022-03-31,10-Q,90
6201,2022,2,2022-06-30,10-Q,181
6201,2022,3,2022-09-30,10-Q,273
6201,2022,4,2022-12-31,10-K,365
6201,2023,1,2023-03-31,10-Q,90
6201,2023,2,2023-06-30,10-Q,181
6201,2023,3,2023-09-30,10-Q,273
6201,2023,4,2023-12-31,10-K,365
6201,2024,1,2024-03-31,10-Q,91
6201,2024,2,2024-06-30,10-Q,182
6201,2024,3,2024-09-30,10-Q,274
6201,2024,4,2024-12-31,10-K,366
6951,2012,1,2012-01-29,10-Q,107
6951,2012,2,2012-04-29,10-Q,198
6951,2012,3,2012-07-29,10-Q,289
6951,2012,4,2012-10-28,10-K,380
6951,2013,1,2013-01-27,10-Q,91
6951,2013,2,2013-04-28,10-Q,182
6951,2013,3,2013-07-28,10-Q,273
6951,2013,4,2013-10-27,10-K,364
6951,2014,1,2014-01-26,10-Q,91
6951,2014,2,2014-04-27,10-Q,182
6951,2014,3,2014-07-27,10-Q,273
6951,2014,4,2014-10-26,10-K,364
6951,2015,1,2015-01-25,10-Q,91
6951,2015,2,2015-04-26,10-Q,182
6951,2015,3,2015-07-26,10-Q,273
6951,2015,4,2015-10-25,10-K,364
6951,2016,1,2016-01-31,10-Q,98
6951,2016,2,2016-05-01,10-Q,189
6951,2016,3,2016-07-31,10-Q,280
6951,2016,4,2016-10-30,10-K,371
6951,2017,1,2017-01-29,10-Q,91
6951,2017,2,2017-04-30,10-Q,182
6951,2017,3,2017-07-30,10-Q,273
6951,2017,4,2017-10-29,10-K,364
6951,2018,1,2018-01-28,10-Q,91
6951,2018,2,2018-04-29,10-Q,182
6951,2018,3,2018-07-29,10-Q,273
6951,2018,4,2018-10-28,10-K,364
6951,2019,1,2019-01-27,10-Q,91
6951,2019,2,2019-04-28,10-Q,182
6951,2019,3,2019-07-28,10-Q,273
6951,2019,4,2019-10-27,10-K,364
6951,2020,1,2020-01-26,10-Q,91
6951,2020,2,2020-04-26,10-Q,182
6951,2020,3,2020-07-26,10-Q,273
6951,2020,4,2020-10-25,10-K,364
6951,2021,1,2021-01-31,10-Q,98
6951,2021,2,2021-05-02,10-Q,189
6951,2021,3,2021-08-01,10-Q,280
6951,2021,4,2021-10-31,10-K,371
6951,2022,1,2022-01-30,10-Q,91
6951,2022,2,2022-05-01,10-Q,182
6951,2022,3,2022-07-31,10-Q,273
6951,2022,4,2022-10-30,10-K,364
6951,2023,1,2023-01-29,10-Q,91
6951,2023,2,2023-04-30,10-Q,182
6951,2023,3,2023-07-30,10-Q,273
6951,2023,4,2023-10-29,10-K,364
6951,2024,1,2024-01-28,10-Q,91
6951,2024,2,2024-04-28,10-Q,182
6951,2024,3,2024-07-28,10-Q,273
6951,2024,4,2024-10-27,10-K,364
7084,2012,3,2012-03-31,10-Q,289
7084,2012,4,2012-06-30,10-K,380
7084,2013,1,2013-03-31,10-Q,105
7084,2013,2,2013-06-30,10-Q,196
7084,2013,3,2013-09-30,10-Q,288
7084,2013,4,2013-12-31,10-K,380
7084,2014,1,2014-03-31,10-Q,90
7084,2014,2,2014-06-30,10-Q,181
7084,2014,3,2014-09-30,10-Q,273
7084,2014,4,2014-12-31,10-K,365
7084,2015,1,2015-03-31,10-Q,90
7084,2015,2,2015-06-30,10-Q,181
7084,2015,3,2015-09-30,10-Q,273
7084,2015,4,2015-12-31,10-K,365
7084,2016,1,2016-03-31,10-Q,91
7084,2016,2,2016-06-30,10-Q,182
7084,2016,3,2016-09-30,10-Q,274
7084,2016,4,2016-12-31,10-K,366
7084,2017,1,2017-03-31,10-Q,90
7084,2017,2,2017-06-30,10-Q,181
7084,2017,3,2017-09-30,10-Q,273
7084,2017,4,2017-12-31,10-K,365
7084,2018,1,2018-03-31,10-Q,90
7084,2018,2,2018-06-30,10-Q,181
7084,2018,3,2018-09-30,10-Q,273
7084,2018,4,2018-12-31,10-K,365
7084,2019,1,2019-03-31,10-Q,90
7084,2019,2,2019-06-30,10-Q,181
7084,2019,3,2019-09-30,10-Q,273
7084,2019,4,2019-12-31,10-K,365
7084,2020,1,2020-03-31,10-Q,91
7084,2020,2,2020-06-30,10-Q,182
7084,2020,3,2020-09-30,10-Q,274
7084,2020,4,2020-12-31,10-K,366
7084,2021,1,2021-03-31,10-Q,90
